ArraySize,AdditionsPerSecond,ActualRuntime
20063488,728415503.140712,1762817
20063488,729342687.847614,1760576
20063488,729406075.698852,1760423
20063488,729150934.192826,1761039
20063488,729430107.960565,1760365
20063488,729348073.315184,1760563
29341848,726599792.452932,1292237
29341848,726713390.891114,1292035
29341848,727628533.566851,1290410
29341848,727319661.832530,1290958
29341848,727365299.714845,1290877
29341848,727159129.613868,1291243
29341848,726517708.759710,1292383
29341848,727247554.384448,1291086
29341848,726446884.315699,1292509
29341848,723265656.750840,1298194
29341848,727327549.452184,1290944
29341848,727081986.711890,1291380
29341848,727272339.706996,1291042
29341848,727129847.168927,1291295
29341848,727315718.086858,1290965
29341848,727341071.483903,1290920
29341848,727322478.819911,1290953
29341848,726428899.354063,1292541
29341848,727379950.125925,1290851
29341848,727616692.407420,1290431
42910984,726796287.131726,1889321
42910984,726737434.862824,1889474
42910984,726750512.321111,1889440
42910984,720991176.314614,1904533
42910984,726829371.676896,1889235
42910984,726807058.513423,1889293
42910984,720996854.847263,1904518
42910984,726865152.540148,1889142
42910984,726868615.391293,1889133
42910984,726920177.300253,1888999
42910984,726905939.325667,1889036
42910984,726772822.012700,1889382
42910984,726711665.954854,1889541
42910984,726670900.967218,1889647
42910984,726808982.008037,1889288
42910984,726009302.256725,1891369
42910984,726034253.615495,1891304
42910984,720894654.943227,1904788
42910984,723577317.273410,1897726
42910984,726812444.323999,1889279
62755168,726750907.820976,1381605
62755168,726743543.625269,1381619
62755168,726772475.252685,1381564
62755168,726522161.442505,1382040
62755168,722745377.041911,1389262
62755168,726787731.038302,1381535
62755168,726508493.805650,1382066
62755168,726714088.334811,1381675
62755168,720831305.623816,1392951
62755168,726672013.490090,1381755
62755168,726767740.828751,1381573
62755168,726744595.644089,1381617
62755168,720778526.014444,1393053
62755168,726743017.617000,1381620
62755168,726909800.384130,1381303
62755168,726787731.038302,1381535
62755168,725950137.695038,1383129
62755168,726668332.172979,1381762
62755168,726794570.046659,1381522
62755168,726707776.797495,1381687
91776294,726494959.529794,1010620
91776294,726692700.018311,1010345
91776294,726448955.360924,1010684
91776294,726446080.293820,1010688
91776294,726710681.764193,1010320
91776294,726461174.650008,1010667
91776294,726740173.753983,1010279
91776294,726712120.342308,1010318
91776294,726722909.859715,1010303
91776294,722619518.916578,1016040
91776294,726797006.533360,1010200
91776294,726643075.016775,1010414
91776294,726698454.080173,1010337
91776294,726942366.222507,1009998
91776294,726038769.647616,1011255
91776294,727037385.158031,1009866
91776294,726712120.342308,1010318
91776294,726535217.957497,1010564
91776294,726441048.981147,1010695
91776294,720719193.418401,1018719
134218240,726461161.665708,1478050
134218240,726448382.897767,1478076
134218240,726727160.376011,1477509
134218240,726737489.576904,1477488
134218240,726648471.342364,1477669
134218240,726482296.768554,1478007
134218240,725912080.304604,1479168
134218240,726489669.768172,1477992
134218240,726443959.582839,1478085
134218240,725710435.198121,1479579
134218240,725806092.265429,1479384
134218240,725888524.732020,1479216
134218240,726491635.926679,1477988
134218240,725918950.967918,1479154
134218240,726267562.383154,1478444
134218240,726474432.400578,1478023
134218240,725951833.800175,1479087
134218240,725697192.360669,1479606
134218240,726649454.850112,1477667
134218240,726555050.244983,1477859
