ArraySize,AdditionsPerSecond,ActualRuntime
448328,2916582007.212235,1259249
448328,2916475469.210947,1259295
448328,2916635279.131784,1259226
448328,2916526421.196992,1259273
448328,2916565794.405586,1259256
448328,2916558846.115057,1259259
448328,2916927151.139703,1259100
448328,2915366546.698059,1259774
448328,2915327205.861925,1259791
448328,2916639911.564583,1259224
448328,2916561162.208221,1259258
655657,2916946461.708904,1841355
655657,2917022501.951060,1841307
655657,2916990818.035037,1841327
655657,2916845080.885991,1841419
655657,2916116613.523472,1841879
655657,2916895770.416539,1841387
655657,2916924284.051703,1841369
655657,2916732619.780721,1841490
655657,2916838744.818545,1841423
655657,2916900522.650354,1841384
655657,2916921115.842489,1841371
655657,2916935372.838149,1841362
655657,2916875177.582274,1841400
655657,2916854585.038772,1841413
655657,2916867257.338826,1841405
655657,2916887850.061258,1841392
655657,2916077033.330728,1841904
655657,2916811816.838995,1841440
655657,2916764298.087941,1841470
655657,2916612248.488514,1841566
958866,2917110349.391586,1346369
958866,2917106016.098089,1346371
958866,2916828712.089649,1346499
958866,2917147182.906105,1346352
958866,2917153683.034636,1346349
958866,2917160183.192136,1346346
958866,2917080016.607459,1346383
958866,2915945157.312272,1346907
958866,2917054017.580279,1346395
958866,2917051851.015600,1346396
958866,2917197017.965148,1346329
958866,2917064850.451949,1346390
958866,2917095182.920670,1346376
958866,2917199184.745471,1346328
958866,2917136349.422924,1346357
958866,2917151516.321908,1346350
958866,2917181850.593017,1346336
958866,2917097349.549716,1346375
958866,2917030185.545816,1346406
958866,2917049684.454139,1346397
1402294,2917346270.900632,1968840
1402294,2917174396.990080,1968956
1402294,2917340343.876915,1968844
1402294,2917073652.733537,1969024
1402294,2917341825.630586,1968843
1402294,2917386278.940661,1968813
1402294,2917367015.673300,1968826
1402294,2917211437.069151,1968931
1402294,2917369979.236336,1968824
1402294,2916993654.898384,1969078
1402294,2917301818.809774,1968870
1402294,2916513760.014461,1969402
1402294,2917284038.352730,1968882
1402294,2917399615.197856,1968804
1402294,2917263294.760109,1968896
1402294,2917362570.340034,1968829
1402294,2916174670.280880,1969631
1402294,2917374424.592180,1968821
1402294,2917334416.877281,1968848
1402294,2917378869.961571,1968818
2050785,2917480989.163657,1439600
2050785,2917454643.713275,1439613
2050785,2917357372.325846,1439661
2050785,2917464776.522498,1439608
2050785,2914808339.116675,1440920
2050785,2916429567.278815,1440119
2050785,2917383716.019471,1439648
2050785,2916308064.483651,1440179
2050785,2917391821.867073,1439644
2050785,2917298607.339080,1439690
2050785,2916964299.877418,1439855
2050785,2917039259.128584,1439818
2050785,2917377636.663330,1439651
2050785,2917432351.780743,1439624
2050785,2917385742.477149,1439647
2050785,2917081805.282272,1439797
2050785,2917501255.218500,1439590
2050785,2917276317.790986,1439701
2050785,2917497201.985007,1439592
2050785,2917474909.402106,1439603
2999171,2916256880.315788,1053113
2999171,2917359429.665199,1052715
2999171,2916517206.242243,1053019
2999171,2916010444.340212,1053202
2999171,2917389913.973918,1052704
2999171,2917098953.371409,1052809
2999171,2917087870.305553,1052813
2999171,2916467352.998992,1053037
2999171,2917273522.768075,1052746
2999171,2917104494.935919,1052807
2999171,2917531258.638886,1052653
2999171,2917046309.558636,1052828
2999171,2917381600.008359,1052707
2999171,2917209788.662090,1052769
2999171,2917026914.948686,1052835
2999171,2917439798.762404,1052686
2999171,2917514629.143911,1052659
2999171,2917437027.340511,1052687
2999171,2916453505.178331,1053042
2999171,2917434255.923882,1052688
4386138,2917600146.029308,1539417
4386138,2917611517.651881,1539411
4386138,2917526232.643219,1539456
4386138,2917188931.914988,1539634
4386138,2917619098.782843,1539407
4386138,2917177563.586293,1539640
4386138,2917168090.046731,1539645
4386138,2917173774.163085,1539642
4386138,2917306409.833383,1539572
4386138,2917778311.634400,1539323
4386138,2917594460.251264,1539420
4386138,2916317616.976626,1540094
4386138,2917531918.155345,1539453
4386138,2917592564.996840,1539421
4386138,2916999471.337257,1539734
4386138,2917554660.425440,1539441
4386138,2917467483.648774,1539487
4386138,2917713866.244153,1539357
4386138,2917564136.475956,1539436
4386138,2917162405.952529,1539648
6414508,2917480388.769013,1125707
6414508,2917607386.968333,1125658
6414508,2917635898.287829,1125647
6414508,2916558039.825480,1126063
6414508,2917558141.456208,1125677
6414508,2917573692.490967,1125671
6414508,2917457063.770969,1125716
6414508,2916296468.365176,1126164
6414508,2917558141.456208,1125677
6414508,2916335312.645129,1126149
6414508,2917773278.819894,1125594
6414508,2917343035.815804,1125760
6414508,2917555549.633199,1125678
6414508,2917550366.000995,1125680
6414508,2917558141.456208,1125677
6414508,2917488163.851243,1125704
6414508,2917654042.144913,1125640
6414508,2917527039.884018,1125689
6414508,2917565916.952866,1125674
6414508,2917314530.219734,1125771
9380897,2916529029.460896,1646827
9380897,2917694812.622519,1646169
9380897,2917597333.048237,1646224
9380897,2917657592.379981,1646190
9380897,2916851386.910962,1646645
9380897,2917613283.805578,1646215
9380897,2917657592.379981,1646190
9380897,2917434290.865180,1646316
9380897,2917694812.622519,1646169
9380897,2917638096.441443,1646201
9380897,2917609739.177763,1646217
9380897,2917645185.843493,1646197
9380897,2917577837.915000,1646235
9380897,2917377584.811960,1646348
9380897,2917436062.964864,1646315
9380897,2917581382.465301,1646233
9380897,2917482138.312289,1646289
9380897,2916514861.537434,1646835
9380897,2917529987.328870,1646262
9380897,2917638096.441443,1646201
13719093,2917648719.531394,1203739
13719093,2916631069.485010,1204159
13719093,2917743251.640774,1203700
13719093,2915897348.359683,1204462
13719093,2916454264.626750,1204232
13719093,2917231881.758701,1203911
13719093,2916606848.374273,1204169
13719093,2917382123.505523,1203849
13719093,2917685077.310081,1203724
13719093,2916560829.372158,1204188
13719093,2917231881.758701,1203911
13719093,2917578430.395226,1203768
13719093,2917217343.056041,1203917
13719093,2917316693.745868,1203876
13719093,2917265805.961806,1203897
13719093,2917597820.163488,1203760
13719093,2917207650.668108,1203921
13719093,2917248843.761629,1203904
13719093,2917154343.685706,1203943
13719093,2917416051.203030,1203835
20063488,2907307492.627372,1766670
20063488,2906012948.546980,1767457
20063488,2915804019.478610,1761522
20063488,2906611552.419708,1767093
20063488,2916303998.364770,1761220
20063488,2909039740.192953,1765618
20063488,2916585518.866585,1761050
20063488,2907613614.388809,1766484
20063488,2912900250.556067,1763278
20063488,2913285212.799447,1763045
20063488,2914326607.524334,1762415
20063488,2912077796.727022,1763776
