EdgeSize,MegaUpdatesPerSecond,ActualRuntime
523,535.002212,1039082
523,534.504786,1040049
523,534.580857,1039901
523,535.046495,1038996
523,537.036484,1035146
523,534.768044,1039537
633,537.323620,1517584
633,535.537652,1522645
633,536.034735,1521233
633,536.298436,1520485
633,536.396156,1520208
633,535.740669,1522068
633,536.457205,1520035
633,535.792767,1521920
633,534.788492,1524778
633,536.724149,1519279
633,534.507003,1525581
633,536.214151,1520724
633,537.907753,1515936
633,535.105391,1523875
633,535.362203,1523144
633,535.982590,1521381
633,533.672342,1527967
633,537.349822,1517510
633,536.973677,1518573
633,537.591072,1516829
765,538.211715,1107633
765,536.797067,1110552
765,537.730122,1108625
765,538.062581,1107940
765,536.821236,1110502
765,537.721391,1108643
765,537.681137,1108726
765,538.417334,1107210
765,538.120379,1107821
765,538.747236,1106532
765,537.318151,1109475
765,538.078608,1107907
765,538.639657,1106753
765,538.451862,1107139
765,537.265368,1109584
765,537.867909,1108341
765,537.517272,1109064
765,539.261871,1105476
765,536.767583,1110613
765,537.063047,1110002
925,539.423286,1617237
925,539.969185,1615602
925,538.909114,1618780
925,538.385622,1620354
925,540.163773,1615020
925,539.345580,1617470
925,539.100273,1618206
925,539.891991,1615833
925,540.047405,1615368
925,539.776742,1616178
925,540.142702,1615083
925,539.630163,1616617
925,539.716298,1616359
925,540.173807,1614990
925,539.838536,1615993
925,539.899008,1615812
925,538.876491,1618878
925,540.528583,1613930
925,538.794950,1619123
925,539.222565,1617839
1119,540.017353,1182956
1119,541.249049,1180264
1119,539.620492,1183826
1119,540.392398,1182135
1119,540.853581,1181127
1119,539.601347,1183868
1119,538.951256,1185296
1119,539.718512,1183611
1119,540.078987,1182821
1119,541.242171,1180279
1119,539.314805,1184497
1119,539.772781,1183492
1119,539.648754,1183764
1119,539.109537,1184948
1119,539.877701,1183262
1119,540.450003,1182009
1119,540.841218,1181154
1119,540.957548,1180900
1119,539.361250,1184395
1119,540.043831,1182898
1354,526.674178,1776975
1354,524.951886,1782805
1354,524.858267,1783123
1354,525.711199,1780230
1354,524.920971,1782910
1354,526.702633,1776879
1354,526.953227,1776034
1354,526.232338,1778467
1354,528.269414,1771609
1354,526.314905,1778188
1354,525.581887,1780668
1354,525.136573,1782178
1354,526.445762,1777746
1354,524.658481,1783802
1354,525.871599,1779687
1354,525.279522,1781693
1354,526.758069,1776692
1354,526.995659,1775891
1354,526.550317,1777393
1354,524.996647,1782653
1637,515.727860,1326951
1637,516.104744,1325982
1637,517.196878,1323182
1637,516.970662,1323761
1637,518.507664,1319837
1637,515.570114,1327357
1637,515.038917,1328726
1637,516.137830,1325897
1637,514.792122,1329363
1637,517.649123,1322026
1637,516.192334,1325757
1637,519.088958,1318359
1637,518.236342,1320528
1637,518.168850,1320700
1637,517.285231,1322956
1637,518.369808,1320188
1637,517.707080,1321878
1637,514.966442,1328913
1637,515.983723,1326293
1637,517.574347,1322217
1980,505.091482,1982999
1980,504.010008,1987254
1980,502.497902,1993234
1980,504.844279,1983970
1980,508.899634,1968160
1980,504.663421,1984681
1980,505.224986,1982475
1980,503.458984,1989429
1980,507.596702,1973212
1980,505.077983,1983052
1980,505.973555,1979542
1980,505.392475,1981818
1980,503.865739,1987823
1980,506.824347,1976219
1980,502.405650,1993600
1980,506.611317,1977050
1980,505.529455,1981281
1980,507.140762,1974986
1980,503.311995,1990010
1980,504.534281,1985189
2394,508.731550,1439606
2394,508.525965,1440188
2394,506.091071,1447117
2394,509.140035,1438451
2394,508.287383,1440864
2394,509.460561,1437546
2394,507.544488,1442973
2394,505.903688,1447653
2394,510.177449,1435526
2394,504.863379,1450636
2394,505.733556,1448140
2394,506.011696,1447344
2394,506.138288,1446982
2394,506.757121,1445215
2394,507.910204,1441934
2394,507.832018,1442156
2394,509.272446,1438077
2394,507.631029,1442727
2394,510.308978,1435156
2394,507.338806,1443558
2896,504.708538,1062029
2896,504.770801,1061898
2896,506.408441,1058464
2896,506.100037,1059109
2896,505.342340,1060697
2896,506.197060,1058906
2896,507.564586,1056053
2896,505.258027,1060874
2896,503.643423,1064275
2896,505.600694,1060155
2896,504.242767,1063010
2896,508.240281,1054649
2896,506.370647,1058543
2896,506.586961,1058091
2896,508.786383,1053517
2896,505.918517,1059489
2896,506.354383,1058577
2896,507.909428,1055336
2896,505.169933,1061059
2896,503.497238,1064584
